EDEN Station Name	UTM E Zone 17N (m NAD83)	UTM N Zone 17N (m NAD83)	Location Area	Vertical Datum for Water Level Data	Vertical Conversion at Gage (ft) (NGVD29 to NAVD88)
NTS10	539703.66546	2815986.47502	Everglades National Park	NAVD88	-1.51
NTS14	536337.72522	2811116.97333	Everglades National Park	NAVD88	-1.57
NTS18	543576.93083	2818613.06850	Everglades National Park	NAVD88	-1.55
NWWF	558093.50162	2863794.89116	Pennsuco Wetlands	NGVD29	-1.54
OL	538956.66471	2794206.88625	Everglades National Park	NAVD88	-1.51
OT	503563.88589	2829031.62672	Everglades National Park	NAVD88	-1.50
P33	529891.45443	2832970.99734	Everglades National Park	NAVD88	-1.51
P34	505933.85342	2832231.41296	Everglades National Park	NAVD88	-1.50
P35	513620.73202	2815873.19046	Everglades National Park	NAVD88	-1.51
P36	520534.98671	2823356.40585	Everglades National Park	NAVD88	-1.51
P37	531371.13486	2796463.30909	Everglades National Park	NAVD88	-1.51
P38	516760.87178	2805880.15170	Everglades National Park	NAVD88	-1.51
R127	539626.90668	2804113.17744	Everglades National Park	NAVD88	-1.57
R3110	537585.65840	2814411.64659	Everglades National Park	NAVD88	-1.51
RG1	539384.90339	2829396.75826	Everglades National Park	NAVD88	-1.52
RG2	539592.96092	2825090.99466	Everglades National Park	NAVD88	-1.51
S10A_T	568563.44817	2915633.12034	Water Conservation Area 2A	NGVD29	-1.49
S10A_H	568592.55260	2915744.44244	L39 Canal	NGVD29	-1.49
S10C_T	564583.85552	2916947.98575	Water Conservation Area 2A	NGVD29	-1.47
S10C_H	564597.90737	2917008.86656	L39 Canal	NGVD29	-1.47
S10D_T	561635.81371	2918827.89572	Water Conservation Area 2A	NGVD29	-1.46
S10D_H	561683.29865	2918858.31254	L39 Canal	NGVD29	-1.46
S11A_T	555030.78209	2895390.86719	Water Conservation Area 3A	NGVD29	-1.48
S11A_H	555115.46094	2895405.33501	Water Conservation Area 2A	NGVD29	-1.48
S11B_T	554456.54517	2898221.27992	Water Conservation Area 3A	NGVD29	-1.48
S11B_H	554557.92223	2898235.15444	Water Conservation Area 2A	NGVD29	-1.48
S11C_T	553853.04704	2901210.42174	Water Conservation Area 3A	NGVD29	-1.48
